system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,subsample,vae,250,3,3,3,1,0.0,1,0.0,1,0.0,3,0.26321217261106106,3,0.26321217261106106,0.26321217261106106
alanine,subsample,vae,250,4,3,3,1,0.0,1,0.0,1,0.0,3,0.4267301614146749,3,0.4267301614146749,0.4267301614146749
alanine,subsample,vae,250,5,3,3,1,0.0,2,0.7520826289649919,1,0.0,2,0.7520826289649919,2,0.7520826289649919,0.47704508371301496
alanine,subsample,vae,250,6,3,3,1,0.0,4,0.15209039049943845,1,0.0,11,0.1754672780581138,2,0.1255534919998099,0.3332890690332639
alanine,subsample,vae,250,7,3,3,1,0.0,1,0.0,1,0.0,3,0.30338974633854826,2,0.6985787906079385,0.30338974633854826
alanine,subsample,pca,500,0,3,3,4,0.4715812663117209,8,0.2542044021016264,4,0.4715812663117209,3,0.45807768324667175,2,0.7917587287404796,0.45807768324667175
alanine,subsample,pca,500,1,3,3,4,0.4368082557177209,11,0.175417728550277,3,0.46437461196461255,3,0.46437461196461255,2,0.7459271975743159,0.46437461196461255
alanine,subsample,pca,500,2,3,3,5,0.28496929486588596,13,0.14318858668552392,4,0.44100327106210974,3,0.4594126068208113,2,0.7557763277108331,0.4594126068208113
alanine,subsample,pca,500,3,3,3,6,0.24816014915318868,7,0.24585309956275272,3,0.4477233180163838,3,0.4477233180163838,2,0.7322850223815057,0.4477233180163838
alanine,subsample,pca,500,4,3,3,6,0.28669790784313026,13,0.144194266713035,4,0.431067087148436,3,0.44438251813884755,2,0.7462397448794208,0.44438251813884755
alanine,subsample,pca,500,5,3,3,6,0.25863170697878984,14,0.14991047580879696,4,0.4415073486305967,3,0.45726078877750553,2,0.7452362550309656,0.45726078877750553
alanine,subsample,pca,500,6,3,3,4,0.42977433947411003,8,0.19495185046096716,4,0.42977433947411003,3,0.4386889412392913,2,0.7502771745814779,0.4386889412392913
alanine,subsample,pca,500,7,3,3,4,0.4649906749690487,8,0.22215639405675305,3,0.4608027179802056,3,0.4608027179802056,2,0.7322850223815057,0.4608027179802056
alanine,subsample,tica,500,0,3,3,2,0.4521219751423678,2,0.4521219751423678,2,0.4521219751423678,2,0.4521219751423678,3,0.3231323225281919,0.3231323225281919
alanine,subsample,tica,500,1,3,3,2,0.43846622836706517,2,0.43846622836706517,2,0.43846622836706517,2,0.43846622836706517,2,0.43846622836706517,0.2764935964089441
alanine,subsample,tica,500,2,3,3,2,0.44033568821016983,2,0.44033568821016983,2,0.44033568821016983,2,0.44033568821016983,3,0.2822488285672258,0.2822488285672258
