potential,n_frames,lag,seed,n_usable_pairs,k_true,k_bic,ari_bic,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,2000,20,5,1980,4,2,0.4817748823778589,0.347408247364757,False,2.575413942337036
prinz1d,2000,20,6,1980,4,2,0.2418382218399772,0.1749856702541677,False,2.8690085411071777
prinz1d,2000,20,7,1980,4,2,0.39996440818063655,0.26725861378702204,False,2.683075189590454
prinz1d,2000,20,8,1980,4,1,0.0,0.09689996768162656,False,2.7868001461029053
prinz1d,2000,20,9,1980,4,2,0.3390157384165571,0.25232250932759154,False,2.908170223236084
prinz1d,2000,50,0,1950,4,1,0.0,0.0348073081236244,False,2.79582142829895
prinz1d,2000,50,1,1950,4,1,0.0,0.054491105729557454,False,2.9204554557800293
prinz1d,2000,50,2,1950,4,1,0.0,0.01838122206964914,False,2.7159762382507324
prinz1d,2000,50,3,1950,4,1,0.0,0.020037469992491074,False,2.7112741470336914
prinz1d,2000,50,4,1950,4,1,0.0,0.08385355920805297,False,2.635176420211792
prinz1d,2000,50,5,1950,4,1,0.0,0.11689908358376921,False,2.6944315433502197
prinz1d,2000,50,6,1950,4,1,0.0,0.0217629193321738,False,2.5490822792053223
prinz1d,2000,50,7,1950,4,1,0.0,0.005463444420991349,False,2.7603237628936768
prinz1d,2000,50,8,1950,4,1,0.0,0.05987376303140285,False,2.6581332683563232
prinz1d,2000,50,9,1950,4,1,0.0,0.09189243605569906,False,2.949367046356201
prinz1d,2000,100,0,1900,4,1,0.0,0.0716945806184234,False,2.792304754257202
prinz1d,2000,100,1,1900,4,1,0.0,0.02455439637623371,False,2.85048246383667
prinz1d,2000,100,2,1900,4,1,0.0,0.013419210743867434,False,2.8553731441497803
prinz1d,2000,100,3,1900,4,1,0.0,0.009430090120427115,False,2.7006406784057617
prinz1d,2000,100,4,1900,4,2,0.36518828436541134,0.24530597871179102,False,2.716632127761841
prinz1d,2000,100,5,1900,4,1,0.0,0.12957050716864743,False,2.8325393199920654
prinz1d,2000,100,6,1900,4,1,0.0,0.01030828968007556,False,2.761629343032837
prinz1d,2000,100,7,1900,4,1,0.0,0.10191181098002769,False,2.6318166255950928
prinz1d,2000,100,8,1900,4,1,0.0,0.027106858402208635,False,2.708496332168579
prinz1d,2000,100,9,1900,4,1,0.0,0.007182313178259157,False,2.7313430309295654
prinz1d,4000,5,0,3995,4,6,0.5548725670819552,0.5980525132022431,False,4.644674062728882
prinz1d,4000,5,1,3995,4,6,0.5317584744110857,0.6297993983354602,False,4.875837326049805
prinz1d,4000,5,2,3995,4,7,0.598376547836472,0.7102626197733242,False,4.830228567123413
prinz1d,4000,5,3,3995,4,7,0.5354473485395721,0.6301380205850174,False,4.98993444442749
prinz1d,4000,5,4,3995,4,7,0.5262166455028301,0.6497359516690543,False,4.209943771362305
prinz1d,4000,5,5,3995,4,8,0.5901855724849615,0.7847345894713873,False,4.368380308151245
prinz1d,4000,5,6,3995,4,6,0.4865878614910591,0.5665495491662685,False,4.707817554473877
prinz1d,4000,5,7,3995,4,6,0.5916891341666412,0.6977381337377394,False,4.380704402923584
prinz1d,4000,5,8,3995,4,7,0.5156668031036434,0.5998139445915052,False,5.030604124069214
prinz1d,4000,5,9,3995,4,5,0.7188552865199973,0.7817861944632101,False,4.881136417388916
prinz1d,4000,10,0,3990,4,4,0.48601824199899674,0.48601824199899674,False,6.905807733535767
prinz1d,4000,10,1,3990,4,4,0.5343780215969192,0.5343780215969192,False,6.525563478469849
prinz1d,4000,10,2,3990,4,4,0.5375282940693119,0.5375282940693119,False,6.038564443588257
prinz1d,4000,10,3,3990,4,5,0.5139716189138132,0.5578902611022222,False,7.128474235534668
prinz1d,4000,10,4,3990,4,4,0.5217666853773701,0.5217666853773701,False,6.60148024559021
